RV,SENTIMENT_tweet,Polarity,SADNESS_tweet,JOY_tweet,FEAR_tweet,DISGUST_tweet,ANGER_tweet
Unacceptable,-0.782193,1,0.339219,0.014699,0.105441,0.685862,0.192766
Unacceptable,-0.910096,1,0.480481,0.017642,0.056484,0.305862,0.480652
Slightly Unacceptable,-0.31997,2,0.260721,0.215397,0.109758,0.5835,0.045952
Slightly Acceptable,0,3,0.396999,0.119888,0.2639,0.315778,0.11908
Unacceptable,-0.858784,1,0.249419,0.037499,0.022371,0.096468,0.183159
Slightly Acceptable,0,3,0.425933,0.253231,0.085639,0.235581,0.08917
Unacceptable,-0.757473,1,0.219397,0.148168,0.044007,0.453641,0.410129
Slightly Acceptable,0,3,0.280541,0.39713,0.14587,0.079857,0.037954
Slightly Acceptable,0.41104,4,0.553016,0.584749,0.069664,0.412062,0.398267
Slightly Unacceptable,-0.284071,2,0.093588,0.047869,0.029316,0.435495,0.676641
Slightly Unacceptable,-0.493371,1,0.29623,0.029531,0.074178,0.456442,0.48041
Slightly Unacceptable,-0.455792,1,0.243022,0.327371,0.066365,0.372304,0.092203
Unacceptable,-0.790232,1,0.452597,0.067017,0.158802,0.454832,0.148558
Unacceptable,-0.928126,1,0.594886,0.004019,0.062327,0.249902,0.429046
Slightly Acceptable,0,3,0.65501,0.135936,0.16653,0.138712,0.041567
Slightly Acceptable,0.460754,5,0.058892,0.520624,0.022586,0.46989,0.006258
Unacceptable,-0.515915,1,0.225676,0.361752,0.014609,0.393003,0.151846
Unacceptable,-0.757473,1,0.219397,0.148168,0.044007,0.453641,0.410129
Unacceptable,-0.850383,1,0.262043,0.04312,0.10272,0.219258,0.675896
Slightly Acceptable,0,3,0.36839,0.196143,0.48075,0.115861,0.01715
Acceptable,0.789605,5,0.260563,0.525394,0.038568,0.089765,0.038864
Unacceptable,-0.850444,1,0.43838,0.012276,0.058594,0.646118,0.123394
Slightly Acceptable,0.470114,5,0.252413,0.104904,0.291778,0.504799,0.151725
Acceptable,0.582233,5,0.186959,0.565119,0.055281,0.016613,0.126197
Unacceptable,-0.937042,1,0.162895,0.103148,0.092893,0.06764,0.467401
Unacceptable,-0.666716,1,0.80687,0.043607,0.090824,0.094216,0.087366
Slightly Acceptable,0,3,0.059271,0.075261,0.102283,0.141659,0.056964
Unacceptable,-0.986125,1,0.447633,0.270582,0.053027,0.246802,0.062537
Unacceptable,-0.797572,1,0.351561,0.042278,0.339149,0.202691,0.409371
Acceptable,0.695257,5,0.303768,0.33807,0.079894,0.172821,0.099405
Unacceptable,-0.803543,1,0.509703,0.033024,0.069987,0.50019,0.203201
Acceptable,0.74403,5,0.143647,0.587188,0.095495,0.010999,0.034531
Acceptable,0.868303,5,0.087897,0.219559,0.196949,0.547452,0.036341
Slightly Acceptable,0,3,0.128743,0.409275,0.038885,0.139253,0.064506
Slightly Unacceptable,-0.416198,2,0.118494,0.639367,0.043194,0.450106,0.516026
Acceptable,0.805356,5,0.055949,0.580193,0.103882,0.268465,0.02203
Unacceptable,-0.737482,1,0.573323,0.077148,0.199815,0.184834,0.275472
Slightly Unacceptable,-0.459813,1,0.232097,0.054347,0.095776,0.486289,0.436112
Unacceptable,-0.977459,1,0.125013,0.001832,0.068136,0.297612,0.810972
Unacceptable,-0.664285,1,0.234517,0.006074,0.657833,0.300505,0.151641
Slightly Acceptable,0,3,0.228004,0.121806,0.068245,0.360078,0.252321
Unacceptable,-0.757473,1,0.219397,0.148168,0.044007,0.453641,0.410129
Slightly Acceptable,0,3,0.297141,0.31225,0.283906,0.238438,0.037253
Acceptable,0.761663,5,0.027542,0.606862,0.034265,0.392649,0.013573
Unacceptable,-0.646954,1,0.517101,0.313163,0.07544,0.192263,0.030672
Unacceptable,-0.621009,1,0.261035,0.140448,0.190862,0.494426,0.152987
Acceptable,0.64835,5,0.264198,0.346377,0.097943,0.217538,0.066147
Slightly Acceptable,0,3,0.424834,0.120854,0.115908,0.049961,0.0936
Unacceptable,-0.757473,1,0.219397,0.148168,0.044007,0.453641,0.410129
Slightly Acceptable,0,3,0.2243,0.310693,0.144437,0.339348,0.114927
Slightly Acceptable,0.484941,5,0.208558,0.063571,0.039027,0.737957,0.138492
Unacceptable,-0.529878,1,0.237694,0.285998,0.053275,0.405569,0.215082
Acceptable,0.953584,5,0.062956,0.720684,0.059017,0.042902,0.00622
Acceptable,0.807674,5,0.241742,0.461032,0.061133,0.120223,0.102071
Unacceptable,-0.770125,1,0.390966,0.026436,0.310196,0.292237,0.1134
Acceptable,0.590656,5,0.521654,0.539482,0.039798,0.066783,0.065097
Acceptable,0.857425,5,0.01628,0.171213,0.173042,0.132959,0.031151
Unacceptable,-0.947187,1,0.108332,0.267313,0.053864,0.155205,0.045137
Slightly Acceptable,0,3,0.206485,0.341509,0.059004,0.031509,0.081599
Unacceptable,-0.50335,1,0.547275,0.236852,0.065115,0.466343,0.206649
Unacceptable,-0.772829,1,0.089555,0.788443,0.007233,0.069822,0.057014
Slightly Unacceptable,-0.350344,2,0.158851,0.040053,0.231862,0.075115,0.284768
Slightly Unacceptable,-0.413332,2,0.108669,0.633764,0.045025,0.441947,0.521386
Slightly Unacceptable,-0.358294,2,0.198597,0.473737,0.124269,0.106057,0.087035
Slightly Unacceptable,-0.485458,2,0.327656,0.004347,0.072745,0.245153,0.657611
Unacceptable,-0.924286,1,0.405195,0.017204,0.144889,0.302532,0.414977
Unacceptable,-0.740844,1,0.134817,0.100918,0.077095,0.220575,0.228735
Unacceptable,-0.99798,1,0.323492,0.207983,0.032187,0.419601,0.2236
Acceptable,0.979368,5,0.029934,0.873742,0.090129,0.00568,0.008298
Acceptable,0.806742,5,0.173861,0.639309,0.012501,0.041348,0.137692
Slightly Acceptable,0.456876,4,0.197496,0.559813,0.017204,0.041561,0.203876
Unacceptable,-0.818362,1,0.290081,0.018212,0.535653,0.374333,0.165575
Unacceptable,-0.83512,1,0.308658,0.39845,0.155102,0.120972,0.031383
Slightly Acceptable,0,3,0.273853,0.410283,0.072475,0.230965,0.125589
Slightly Acceptable,0.42159,4,0.268131,0.200254,0.057019,0.372074,0.219033
Slightly Acceptable,0,3,0.297141,0.31225,0.283906,0.238438,0.037253
Unacceptable,-0.887647,1,0.800441,0.021809,0.141896,0.119092,0.193154
Unacceptable,-0.781299,1,0.201842,0.144942,0.048175,0.398214,0.472227
Unacceptable,-0.631888,1,0.346527,0.026317,0.021843,0.678383,0.218887
Unacceptable,-0.861885,1,0.075608,0.001724,0.069652,0.226435,0.8855
Unacceptable,-0.841703,1,0.29743,0.005565,0.049923,0.618101,0.379192
Unacceptable,-0.766082,1,0.651646,0.071692,0.070345,0.20033,0.181911
Unacceptable,-0.869485,1,0.065936,0.022743,0.031465,0.411401,0.742754
Unacceptable,-0.902601,1,0.811351,0.019346,0.149422,0.114235,0.179334
Unacceptable,-0.818739,1,0.35181,0.012404,0.380813,0.475975,0.167683
Acceptable,0.575884,5,0.204377,0.165146,0.067879,0.15815,0.080088
Unacceptable,-0.827695,1,0.320809,0.095861,0.017753,0.104347,0.50481
Acceptable,0.555095,5,0.210156,0.264343,0.040722,0.488412,0.201184
Unacceptable,-0.565567,1,0.445368,0.051416,0.018062,0.569071,0.056036
Unacceptable,-0.944303,1,0.532231,0.116963,0.042698,0.364291,0.056814
Slightly Acceptable,0,3,0.063267,0.621414,0.015747,0.008047,0.014812
Unacceptable,-0.614466,1,0.148831,0.179551,0.091248,0.074744,0.088473
Unacceptable,-0.942391,1,0.916667,0,0.931034,0.931034,1
Unacceptable,-0.520032,1,0.38177,0.1475,0.123807,0.367299,0.172783
Slightly Acceptable,0,3,0.4389,0.271567,0.229664,0.073002,0.118042
Slightly Acceptable,0.330017,4,0.370463,0.019526,0.015326,0.587205,0.309045
Unacceptable,-0.721262,1,0.316042,0.087527,0.075327,0.361546,0.467071
Slightly Acceptable,0,3,0.237769,0.095018,0.665822,0.066914,0.067816
Unacceptable,-0.865315,1,0.352034,0.140377,0.083798,0.160901,0.187856
Slightly Unacceptable,-0.477323,1,0.179809,0.056084,0.047741,0.617216,0.411309
Unacceptable,-0.854814,1,0.694165,0.003126,0.087409,0.324403,0.186587
Unacceptable,-0.77534,1,0.595318,0.061377,0.076358,0.109931,0.241422
Acceptable,0.753292,5,0.200135,0.325373,0.124483,0.174738,0.121796
Slightly Unacceptable,-0.495591,1,0.165388,0.495616,0.06258,0.131522,0.281642
Slightly Acceptable,0,3,0.226143,0.166605,0.181624,0.104534,0.102295
Unacceptable,-0.994208,1,0.193147,0.384597,0.011598,0.526741,0.004199
Unacceptable,-0.794503,1,0.69728,0.086013,0.150204,0.08942,0.043623
Unacceptable,-0.919145,1,0.277818,0.025427,0.200194,0.229575,0.540747
Unacceptable,-0.889597,1,0.641012,0.074263,0.109024,0.245699,0.154672
Slightly Acceptable,0.460754,5,0.058892,0.520624,0.022586,0.46989,0.006258
Unacceptable,-0.592467,1,0.507192,0.021065,0.199769,0.314142,0.317465
Unacceptable,-0.688395,1,0.897471,0.039218,0.097001,0.037845,0.005326
Slightly Acceptable,0,3,0.146961,0.064966,0.034213,0.590987,0.21283
Slightly Unacceptable,-0.378139,2,0.702873,0.105924,0.607444,0.068193,0.06661
Acceptable,0.873325,5,0.036295,0.8455,0.080012,0.005773,0.01479
Unacceptable,-0.785374,1,0.487554,0.212994,0.199984,0.180111,0.055877
Acceptable,0.590656,5,0.521654,0.539482,0.039798,0.066783,0.065097
Unacceptable,-0.713165,1,0.200274,0.447989,0.051035,0.223043,0.187069
Slightly Acceptable,0,3,0.46336,0.144202,0.220501,0.27983,0.100083
Slightly Acceptable,0.28606,4,0.195366,0.468505,0.637382,0.087399,0.085231
Acceptable,0.999404,5,0.026076,0.894194,0.026537,0.020797,0.009165
Unacceptable,-0.845418,1,0.375273,0.025199,0.029726,0.496083,0.396334
Slightly Acceptable,0,3,0.432828,0.265839,0.081451,0.28522,0.107728
Unacceptable,-0.832415,1,0.502624,0.014675,0.13629,0.374699,0.296342
Unacceptable,-0.982572,1,0.26165,0.316904,0.179203,0.304826,0.047839
Unacceptable,-0.903634,1,0.603304,0.002673,0.067661,0.203638,0.452646
Acceptable,0.517528,5,0.100304,0.656004,0.087453,0.055105,0.14539
Unacceptable,-0.82148,1,0.188956,0.353158,0.095689,0.19974,0.134784
Unacceptable,-0.905273,1,0.612754,0.060436,0.562118,0.697438,0.725504
Unacceptable,-0.7235,1,0.192784,0.020973,0.857863,0.020558,0.038779
Unacceptable,-0.654917,1,0.290534,0.248464,0.158046,0.195553,0.174712
Slightly Acceptable,0.336111,4,0.129505,0.735696,0.024007,0.057248,0.035177
Slightly Unacceptable,-0.426615,2,0.535398,0.03272,0.057273,0.366437,0.324067
Slightly Acceptable,0,3,0.795041,0.049152,0.167307,0.128545,0.057184
Slightly Acceptable,0.412199,4,0.451533,0.630473,0.03352,0.143333,0.443785
Unacceptable,-0.589401,1,0.352149,0.02118,0.046646,0.12811,0.682801
Slightly Unacceptable,-0.489396,1,0.186268,0.501214,0.636597,0.071985,0.086233
Unacceptable,-0.94907,1,0.650276,0.013552,0.273154,0.156415,0.253501
Slightly Acceptable,0.4255,4,0.610335,0.018606,0.252388,0.100791,0.115931
Unacceptable,-0.89742,1,0.494862,0.131824,0.246572,0.235142,0.175231
Slightly Acceptable,0,3,0.137853,0.191589,0.05763,0.283146,0.08865
Slightly Acceptable,0,3,0.270096,0.155434,0.062415,0.509114,0.178377
Acceptable,0.785258,5,0.023682,0.915028,0.018871,0.02549,0.010357
Unacceptable,-0.832176,1,0.916381,0.040457,0.054707,0.061616,0.027028
Unacceptable,-0.877769,1,0.60146,0.03425,0.105368,0.131677,0.197008
Slightly Unacceptable,-0.387243,2,0.503471,0.056314,0.103426,0.478989,0.159029
Acceptable,0.870554,5,0.078294,0.493931,0.029561,0.399734,0.060689
Acceptable,0.887037,5,0.045098,0.875242,0.022296,0.063083,0.007819
Slightly Unacceptable,-0.308834,2,0.354729,0.218436,0.033216,0.051106,0.044931
Unacceptable,-0.535271,1,0.598021,0.028787,0.068791,0.131817,0.48126
Unacceptable,-0.964205,1,0.300985,0.354666,0.021456,0.33894,0.110645
Unacceptable,-0.637188,1,0.648538,0.065735,0.325278,0.046327,0.129604
Unacceptable,-0.848387,1,0.210361,0.045498,0.107035,0.071308,0.62815
Slightly Acceptable,0.469278,5,0.326441,0.053496,0.12096,0.388241,0.430276
Slightly Acceptable,0,3,0.155209,0.568471,0.150837,0.01887,0.071203
Unacceptable,-0.971479,1,0.456263,0.064958,0.069424,0.276868,0.074161
Unacceptable,-0.922643,1,0.158983,0.485513,0.083273,0.108856,0.126411
Slightly Acceptable,0,3,0.243875,0.194315,0.15148,0.435148,0.110999
Slightly Acceptable,0,3,0.12335,0.133943,0.033707,0.100991,0.068914
Unacceptable,-0.740379,1,0.213003,0.004704,0.68792,0.239084,0.175816
Slightly Acceptable,0,3,0.190822,0.568199,0.217718,0.011317,0.047483
Slightly Acceptable,0,3,0.089702,0.233566,0.101249,0.329723,0.254044
Slightly Acceptable,0,3,0.133569,0.1603,0.083341,0.324043,0.074035
Unacceptable,-0.695961,1,0.306907,0.006237,0.124457,0.189597,0.398748
Slightly Acceptable,0,3,0.406356,0.031066,0.053983,0.362565,0.472104
Acceptable,0.887037,5,0.045098,0.875242,0.022296,0.063083,0.007819
Acceptable,0.775152,5,0.377536,0.055564,0.063964,0.161965,0.540227
Slightly Acceptable,0,3,0.226681,0.335653,0.108295,0.194278,0.078049
Acceptable,0.85972,5,0.215778,0.642156,0.139056,0.014318,0.030004
Unacceptable,-0.893828,1,0.094533,0.481148,0.077825,0.038558,0.062864
Acceptable,0.52426,5,0.378516,0.103074,0.043239,0.191966,0.22167
Acceptable,0.85972,5,0.215778,0.642156,0.139056,0.014318,0.030004
Slightly Unacceptable,-0.374785,2,0.637174,0.15273,0.096658,0.027393,0.082108
Acceptable,0.983951,5,0.22317,0.637536,0.008585,0.1405,0.035259
Slightly Acceptable,0,3,0.190822,0.568199,0.217718,0.011317,0.047483
Acceptable,0.870554,5,0.078294,0.493931,0.029561,0.399734,0.060689
Acceptable,0.659139,5,0.024321,0.904686,0.021707,0.016423,0.036726
Unacceptable,-0.789404,1,0.667022,0.076047,0.138329,0.136609,0.443918
Unacceptable,-0.96426,1,0.076605,0.001674,0.070073,0.223785,0.886302
Unacceptable,-0.935368,1,0.629254,0.2003,0.134047,0.037965,0.089453
Slightly Unacceptable,-0.299468,3,0.368832,0.298964,0.072635,0.192469,0.122501
Unacceptable,-0.794383,1,0.358888,0.026231,0.058795,0.253451,0.570686
Slightly Unacceptable,-0.265839,2,0.117718,0.375532,0.16442,0.373731,0.02062
Acceptable,0.816069,5,0.186518,0.57969,0.036597,0.18656,0.024258
Acceptable,0.978046,5,0.084699,0.565471,0.036502,0.26607,0.033984
Unacceptable,-0.86847,1,0.203237,0.275253,0.012246,0.27894,0.135835
Unacceptable,-0.583468,1,0.597887,0.030221,0.217898,0.285858,0.18269
Acceptable,0.731859,5,0.361189,0.338817,0.031739,0.202674,0.123827
Slightly Acceptable,0,3,0.118434,0.088111,0.13582,0.029367,0.109915
Slightly Unacceptable,-0.408862,2,0.028989,0.112057,0.059662,0.112859,0.406165
Slightly Acceptable,0.397285,4,0.196117,0.398901,0.127631,0.20762,0.245721
Unacceptable,-0.925358,1,0.354623,0.019079,0.550124,0.168249,0.270478
Acceptable,0.828281,5,0.426164,0.153543,0.1078,0.325918,0.152739
Slightly Acceptable,0,3,0.347653,0.325368,0.131976,0.095262,0.01102
Slightly Acceptable,0,3,0.164762,0.339018,0.094371,0.270047,0.114816
Unacceptable,-0.910537,1,0.232534,0.113512,0.054628,0.287262,0.189006
Unacceptable,-0.945429,1,0.724919,0.180777,0.10664,0.100445,0.017381
Slightly Acceptable,0.463284,5,0.067548,0.245731,0.163626,0.115227,0.04161
Unacceptable,-0.984199,1,0.292837,0.017442,0.040942,0.34194,0.640583
Unacceptable,-0.909278,1,0.567171,0.033682,0.032045,0.252879,0.390019
Acceptable,0.967001,5,0.038586,0.093393,0.026945,0.84589,0.020927
Slightly Acceptable,0.43002,4,0.167675,0.59775,0.065716,0.204219,0.027242
Unacceptable,-0.743591,1,0.642643,0.176412,0.046345,0.128759,0.056004
Unacceptable,-0.764119,1,0.413371,0.027564,0.33796,0.283417,0.122636
Acceptable,0.863715,5,0.051251,0.855226,0.009014,0.081954,0.005163
Unacceptable,-0.953474,1,0.257836,0.053364,0.693396,0.206911,0.063215
Acceptable,0.79721,5,0.368519,0.513042,0.141284,0.02137,0.022308
Acceptable,0.894049,5,0.135924,0.77153,0.009342,0.084552,0.022216
Unacceptable,-0.936276,1,0.373759,0.012055,0.050695,0.460457,0.471151
Unacceptable,-0.936276,1,0.373759,0.012055,0.050695,0.460457,0.471151
Unacceptable,-0.992815,1,0.417123,0.071133,0.068149,0.575801,0.136506
Unacceptable,-0.543934,1,0.431842,0.179682,0.244391,0.264374,0.086462
Slightly Acceptable,0.353377,4,0.074447,0.587424,0.030423,0.264977,0.036386
Slightly Acceptable,0.153377,3,0.068547,0.327424,0.03123,0.107752,0.001285
Unacceptable,-0.595647,1,0.448277,0.121477,0.044203,0.433475,0.220822
Unacceptable,-0.689814,1,0.213179,0.059211,0.055356,0.274541,0.119976
Unacceptable,-0.668386,1,0.222923,0.060073,0.091034,0.239463,0.157889
Slightly Acceptable,0,3,0.401092,0.216692,0.057198,0.27456,0.200846
Acceptable,0.968396,5,0.078266,0.842677,0.01306,0.054408,0.01674
Unacceptable,-0.65314,1,0.51686,0.210594,0.120845,0.261751,0.068127
Acceptable,0.803794,5,0.113657,0.503205,0.017527,0.443714,0.012382
Unacceptable,-0.981747,1,0.510243,0.047181,0.028224,0.440136,0.214425
Acceptable,0.86386,5,0.093748,0.778153,0.027407,0.10462,0.026022
Unacceptable,-0.743297,1,0.11362,0.100079,0.047119,0.437228,0.443876
Unacceptable,-0.781851,1,0.843994,0.039174,0.124786,0.1356,0.068162
Slightly Acceptable,0,3,0.747834,0.067294,0.106102,0.070906,0.188593
Slightly Acceptable,0,3,0.391973,0.014723,0.58936,0.180418,0.09366
Unacceptable,-0.687953,1,0.202703,0.017373,0.012416,0.205944,0.791868
Unacceptable,-0.904879,1,0.580887,0.010239,0.464759,0.199035,0.087079
Unacceptable,-0.847287,1,0.596333,0.138563,0.04568,0.0571,0.071416
Unacceptable,-0.992098,1,0.603563,0.046557,0.171308,0.151898,0.15719
Slightly Unacceptable,-0.396576,2,0.195892,0.621298,0.029536,0.143508,0.051233
Unacceptable,-0.968117,1,0.620777,0.064138,0.064313,0.360903,0.154142
Unacceptable,-0.904712,1,0.524157,0.31567,0.095925,0.1163,0.050851
Unacceptable,-0.961133,1,0.733136,0.041118,0.186518,0.157318,0.131183
Acceptable,0.912981,5,0.03871,0.912502,0.002308,0.005993,0.025162
Unacceptable,-0.621529,1,0.229141,0.328617,0.019271,0.324245,0.302261
Unacceptable,-0.689986,1,0.385516,0.019409,0.128636,0.491737,0.306385
Slightly Unacceptable,-0.352521,2,0.753609,0.080132,0.109206,0.081413,0.120037
Unacceptable,-0.94825,1,0.325038,0.332781,0.01614,0.327535,0.133154
Unacceptable,-0.87956,1,0.35181,0.012404,0.380813,0.475975,0.167683
Unacceptable,-0.541818,1,0.298971,0.052119,0.413285,0.250503,0.190058
Unacceptable,-0.894233,1,0.517172,0.036682,0.15005,0.292397,0.27662
Unacceptable,-0.575782,1,0.331241,0.019457,0.017982,0.474634,0.476781
Slightly Unacceptable,-0.4564,1,0.270234,0.079972,0.061287,0.583216,0.260102
Unacceptable,-0.950332,1,0.436955,0.030971,0.076997,0.234562,0.510549
Unacceptable,-0.539916,1,0.196542,0.284656,0.064863,0.492333,0.1245
Unacceptable,-0.886741,1,0.826463,0.039642,0.131191,0.161112,0.068538
Slightly Acceptable,0,3,0.178495,0.392661,0.049188,0.358769,0.053425
Slightly Acceptable,0,3,0.126008,0.187133,0.073778,0.077411,0.251947
Acceptable,0.602438,5,0.22021,0.60526,0.107189,0.028039,0.049112
Slightly Acceptable,0,3,0.035558,0.816892,0.013425,0.053142,0.004922
Slightly Acceptable,0,3,0.272778,0.057149,0.337556,0.205762,0.203569
Acceptable,0.731093,5,0.089298,0.086873,0.155005,0.610995,0.126099
Unacceptable,-0.87617,1,0.156108,0.005109,0.13509,0.491378,0.300519
Unacceptable,-0.953833,1,0.551112,0.098822,0.213023,0.004244,0.481138
Slightly Acceptable,0,3,0.134964,0.251272,0.781353,0.003486,0.141554
Unacceptable,-0.988635,1,0.122468,0.089341,0.054758,0.310591,0.098915
Slightly Unacceptable,-0.455467,1,0.137297,0.249224,0.054986,0.423489,0.23765
Acceptable,0.643246,5,0.120501,0.434683,0.101058,0.185888,0.368161
Unacceptable,-0.958713,1,0.123835,0.363789,0.04939,0.282565,0.327293
Unacceptable,-0.781851,1,0.068162,0.1356,0.124786,0.039174,0.843994
Unacceptable,-0.90662,1,0.214485,0.411164,0.077697,0.126942,0.365487
Slightly Acceptable,0,3,0.176415,0.056938,0.300419,0.05616,0.151046
Slightly Unacceptable,-0.360818,2,0.003914,0.527438,0.013181,0.37472,0.204892
Slightly Unacceptable,-0.352402,2,0.067655,0.431534,0.015148,0.465507,0.115468
Unacceptable,-0.739067,1,0.226407,0.636171,0.037602,0.05078,0.348362
Unacceptable,-0.944665,1,0.729762,0.371643,0.063001,0.010296,0.153514
Unacceptable,-0.511811,1,0.072681,0.047529,0.025134,0.262005,0.04849
Slightly Acceptable,0,3,0.069358,0.154953,0.02862,0.168092,0.272118
Slightly Acceptable,0,3,0.174571,0.046386,0.113573,0.277498,0.545051
Unacceptable,-0.590547,1,0.128298,0.376133,0.110302,0.379407,0.141312
Unacceptable,-0.946526,1,0.546992,0.242097,0.066293,0.058557,0.368761
Unacceptable,-0.797497,1,0.153651,0.493245,0.237752,0.030082,0.444736
Unacceptable,-0.827707,1,0.102959,0.604015,0.075244,0.007085,0.492316
Unacceptable,-0.89062,1,0.812124,0.095883,0.022637,0.049746,0.199085
Unacceptable,-0.952907,1,0.469694,0.174224,0.137412,0.017954,0.496572
Unacceptable,-0.747287,1,0.279332,0.109287,0.124078,0.037662,0.662288
Acceptable,0.543444,5,0.086632,0.159262,0.050987,0.202605,0.234033
Unacceptable,-0.978129,1,0.01753,0.031618,0.042994,0.290984,0.38939
Slightly Acceptable,0.343825,4,0.035177,0.057248,0.024007,0.735696,0.129505
Unacceptable,-0.944205,1,0.443085,0.674949,0.016781,0.023259,0.040274
Unacceptable,-0.64537,1,0.180068,0.365703,0.084629,0.033308,0.54409
Unacceptable,-0.938766,1,0.133796,0.216462,0.591535,0.010146,0.404757
Unacceptable,-0.971254,1,0.123835,0.363789,0.04939,0.282565,0.327293
Unacceptable,-0.889725,1,0.108661,0.055859,0.342539,0.107374,0.390964
Acceptable,0.946649,5,0.030279,0.008464,0.006403,0.908098,0.02915
Acceptable,0.619837,5,0.129429,0.397958,0.097153,0.222568,0.343887
Unacceptable,-0.971455,1,0.092968,0.07836,0.08248,0.198361,0.139307
Unacceptable,-0.976155,1,0.138927,0.315064,0.059081,0.140852,0.369403
Slightly Unacceptable,-0.345258,2,0.148944,0.088478,0.079169,0.469,0.138499
Slightly Unacceptable,-0.257854,2,0.294786,0.352677,0.093416,0.069612,0.322245
Unacceptable,-0.995811,1,0.564779,0.288488,0.094828,0.052883,0.319532
Acceptable,0.686093,5,0.197598,0.063019,0.266611,0.027978,0.264261
Unacceptable,-0.885228,1,0.521475,0.256126,0.079879,0.055813,0.219891
Slightly Unacceptable,-0.283446,2,0.178781,0.046035,0.104068,0.2993,0.52251
Unacceptable,-0.944764,1,0.148813,0.310446,0.21701,0.075306,0.551154
Slightly Unacceptable,-0.461841,1,0.008531,0.047952,0.02236,0.888568,0.038627
Acceptable,0.621987,5,0.021012,0.107387,0.030204,0.470128,0.047947
Unacceptable,-0.91183,1,0.127213,0.317091,0.113311,0.375453,0.195623
Unacceptable,-0.8345,1,0.123409,0.052291,0.04076,0.063368,0.116182
Unacceptable,-0.633828,1,0.542699,0.091714,0.124487,0.028741,0.532831
Unacceptable,-0.847156,1,0.296463,0.253918,0.119738,0.125559,0.248491
Slightly Unacceptable,-0.346649,2,0.105609,0.060659,0.055808,0.379792,0.129758
Slightly Acceptable,0.280224,4,0.193629,0.221266,0.035764,0.11451,0.196303
Slightly Unacceptable,-0.410621,2,0.016858,0.05255,0.069553,0.128146,0.201607
Unacceptable,-0.65581,1,0.173147,0.559895,0.348527,0.112973,0.123889
Slightly Acceptable,0.481121,5,0.128264,0.213751,0.099191,0.121246,0.140386
Unacceptable,-0.957728,1,0.191583,0.148629,0.122523,0.074162,0.657618
Slightly Acceptable,0,3,0.098012,0.088135,0.026471,0.548846,0.078168
Unacceptable,-0.93748,1,0.151489,0.141058,0.031235,0.121828,0.708032
Slightly Unacceptable,-0.393884,2,0.101554,0.082643,0.056234,0.523155,0.109578
Unacceptable,-0.530609,1,0.033891,0.373841,0.078289,0.250046,0.329892
Slightly Unacceptable,-0.390586,2,0.035778,0.263215,0.055003,0.386713,0.264178
Slightly Acceptable,0,3,0.037377,0.045498,0.094481,0.263415,0.115517
Slightly Acceptable,0,3,0.233988,0.292886,0.011402,0.159725,0.182541
Acceptable,0.912171,5,0.030475,0.061129,0.050444,0.71148,0.104298
Acceptable,0.652172,5,0.11243,0.106147,0.048455,0.146382,0.657719
Acceptable,0.839944,5,0.046575,0.044283,0.011774,0.613874,0.288738
Slightly Acceptable,0,3,0.069259,0.05126,0.043302,0.53795,0.290517
Acceptable,0.905028,5,0.015353,0.021521,0.01273,0.918466,0.017838
Acceptable,0.895402,5,0.010246,0.020751,0.031096,0.914126,0.014844
Acceptable,0.963885,5,0.060599,0.024636,0.009926,0.825994,0.039396
Acceptable,0.728135,5,0.006727,0.110708,0.10516,0.655358,0.167884
Unacceptable,-0.518369,1,0.3687,0.182706,0.048863,0.136437,0.516998
Slightly Acceptable,0.371182,4,0.043072,0.01662,0.337323,0.177116,0.180941
Acceptable,0.528174,5,0.160106,0.094778,0.176739,0.28785,0.441272
Acceptable,-0.27183,2,0.47098,0.011356,0.569164,0.218893,0.082565
Acceptable,0.992553,5,0.012542,0.159163,0.077234,0.623544,0.197273
Acceptable,0.778342,5,0.012328,0.054193,0.076597,0.506613,0.397459
Slightly Unacceptable,-0.276587,2,0.231676,0.147251,0.492269,0.123272,0.229661
Unacceptable,-0.887061,1,0.031728,0.023039,0.020883,0.292168,0.693199
Slightly Acceptable,0,3,0.045745,0.163642,0.15438,0.323311,0.414338
Slightly Acceptable,0,3,0.054156,0.157704,0.035702,0.257979,0.449525
Slightly Acceptable,0,3,0.057932,0.366589,0.014249,0.251231,0.453474
Acceptable,0.582616,5,0.095156,0.191413,0.051101,0.502146,0.08041
Slightly Acceptable,0.295876,4,0.161869,0.214492,0.03239,0.145752,0.040546
Slightly Acceptable,0,3,0.050866,0.063725,0.039863,0.276246,0.249942
Slightly Unacceptable,-0.457324,1,0.13644,0.091524,0.034962,0.045742,0.398705
Acceptable,0.957387,5,0.05996,0.09911,0.046663,0.563023,0.190257
Unacceptable,-0.583535,1,0.067001,0.018629,0.010282,0.085386,0.264632
Acceptable,0.835433,5,0.06379,0.104522,0.092532,0.074541,0.688544
Acceptable,0.831061,5,0.065571,0.064762,0.846974,0.071435,0.111621
Slightly Acceptable,0,3,0.044176,0.026053,0.131503,0.103147,0.04311
Slightly Unacceptable,-0.461356,1,0.056401,0.191162,0.112755,0.519346,0.101391
Acceptable,0.729439,5,0.056815,0.056884,0.065896,0.193354,0.134586
Slightly Acceptable,0,3,0.127961,0.143266,0.051413,0.086174,0.146311
Slightly Acceptable,0.407786,4,0.390875,0.206971,0.094346,0.163335,0.247257
